country,year,scenario,co2_projected
United Kingdom,2029,BAU,224.47634883664946
United Kingdom,2029,Moderate Mitigation,282.8422408435008
United Kingdom,2029,Aggressive Mitigation,242.12069802937492
United Kingdom,2030,BAU,212.7249504246642
United Kingdom,2030,Moderate Mitigation,277.18539602663077
United Kingdom,2030,Aggressive Mitigation,230.0146631279062
United Kingdom,2031,BAU,201.25912900580113
United Kingdom,2031,Moderate Mitigation,271.6416881060982
United Kingdom,2031,Aggressive Mitigation,218.51392997151086
United Kingdom,2032,BAU,190.0719446214152
United Kingdom,2032,Moderate Mitigation,266.20885434397616
United Kingdom,2032,Aggressive Mitigation,207.58823347293531
United Kingdom,2033,BAU,179.15662596449351
United Kingdom,2033,Moderate Mitigation,260.88467725709666
United Kingdom,2033,Aggressive Mitigation,197.20882179928853
United Kingdom,2034,BAU,168.50656628116212
United Kingdom,2034,Moderate Mitigation,255.66698371195469
United Kingdom,2034,Aggressive Mitigation,187.34838070932412
United Kingdom,2035,BAU,158.11531937179268
United Kingdom,2035,Moderate Mitigation,250.55364403771563
United Kingdom,2035,Aggressive Mitigation,177.9809616738579
United Kingdom,2036,BAU,147.97659568928802
United Kingdom,2036,Moderate Mitigation,245.5425711569613
United Kingdom,2036,Aggressive Mitigation,169.081913590165
United Kingdom,2037,BAU,138.0842585321856
United Kingdom,2037,Moderate Mitigation,240.63171973382205
United Kingdom,2037,Aggressive Mitigation,160.62781791065674
United Kingdom,2038,BAU,128.43232033027434
United Kingdom,2038,Moderate Mitigation,235.8190853391456
United Kingdom,2038,Aggressive Mitigation,152.59642701512388
United Kingdom,2039,BAU,119.01493902047656
United Kingdom,2039,Moderate Mitigation,231.1027036323627
United Kingdom,2039,Aggressive Mitigation,144.96660566436768
United Kingdom,2040,BAU,109.82641451080178
United Kingdom,2040,Moderate Mitigation,226.48064955971543
United Kingdom,2040,Aggressive Mitigation,137.71827538114928
South Africa,2025,BAU,465.5856455240161
South Africa,2025,Moderate Mitigation,431.03438
South Africa,2025,Aggressive Mitigation,417.83945
South Africa,2026,BAU,467.10437780535875
South Africa,2026,Moderate Mitigation,422.4136924
South Africa,2026,Aggressive Mitigation,396.9474775
South Africa,2027,BAU,468.5433814703703
South Africa,2027,Moderate Mitigation,413.96541855199996
South Africa,2027,Aggressive Mitigation,377.100103625
South Africa,2028,BAU,469.90684201793056
South Africa,2028,Moderate Mitigation,405.68611018096
South Africa,2028,Aggressive Mitigation,358.24509844374995
South Africa,2029,BAU,471.19872522153463
South Africa,2029,Moderate Mitigation,397.5723879773408
South Africa,2029,Aggressive Mitigation,340.33284352156244
South Africa,2030,BAU,472.4227886641776
South Africa,2030,Moderate Mitigation,389.620940217794
South Africa,2030,Aggressive Mitigation,323.3162013454843
South Africa,2031,BAU,473.58259266769335
South Africa,2031,Moderate Mitigation,381.82852141343807
South Africa,2031,Aggressive Mitigation,307.15039127821007
South Africa,2032,BAU,474.681510648339
South Africa,2032,Moderate Mitigation,374.1919509851693
South Africa,2032,Aggressive Mitigation,291.79287171429957
South Africa,2033,BAU,475.7227389287428
